id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"135888","Google Tivi LED TCL 43P755","","","https://www.nguyenkim.com/images/companies/_1/tivi/TCL/google-tivi-led-tcl-4k-43-inch-43p755-1-min.jpg","0","https://www.nguyenkim.com/google-tivi-led-tcl-4k-43-inch-43p755.html","43 inch","4K (UHD)","Google TV","HDR10+ Decoding, Dolby Vision","AIPQ Processor","N/A","15Wx2","1 cổng","2.4GHz/5GHz","1 Cổng","4 Cổng","TCL","Việt Nam","N/A","24 Tháng","Google Tivi","HDR 10+","Dolby Atmos, DTS Vitual:X, DTS HD","N/A","Google Assistant - Remote có micro",2024-10-28
"135898","Google Tivi LED TCL 65P755 Pro","-20","","https://www.nguyenkim.com/images/companies/_1/tivi/TCL/google-tivi-led-tcl-4k-55-inch-55p755-6-min_1.jpg","0","https://www.nguyenkim.com/google-tivi-led-tcl-4k-65-inch-65p755-pro.html","65 inch","4K (UHD)","Google TV","HDR10+ Decoding, Dolby Vision","AIPQ Processor","60Hz/120Hz MEMC, 120 Hz DLG, 120Hz VRR Hz","(2x10)W + 15W","1 cổng","2.4GHz/5GHz","2 Cổng","4 Cổng","TCL","Việt Nam","N/A","24 Tháng","Google Tivi","HDR 10+","Dolby Atmos, DTS Vitual:X, DTS HD","N/A","Google Assistant - Remote có micro",2024-10-28
"136063","Tivi QLED Samsung QA65Q70DAKXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/Q70D/smart-tivi-qled-samsung-4k-65-inch-qa65q70dakxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-65-inch-qa65q70dakxxv.html","65 inch","4K (UHD)","Tizen","Công nghệ Quantum Dot, Quantum HDR, Dual LED, Công nghệ Supreme UHD Dimming, Wide Viewing Angle, EyeComfort, Motion Xcelerator","Quantum Processor 4K","120 Hz","20W","1 cổng","Wifi 5","2 x USB A","4 Cổng","Samsung","Việt Nam","N/A","24 tháng","Tivi QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS), Active Voice Amplifier, Adaptive Sound Pro","DDR 2.5G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"118529","Google Tivi Sony KD-50X75K","","","https://www.nguyenkim.com/images/companies/_1/Content/Tivi/SONY/X75K/Google-Tivi-Sony-4K-KD-X75K-h1.jpg","0","https://www.nguyenkim.com/google-tivi-sony-4k-50-inch-kd-50x75k-vn3.html","50 inch","4K (UHD)","Google TV","Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO","Bộ xử lý X1 4K HDR","50 Hz","20W","Có","Có","2 Cổng","3 cổng","Sony","Việt Nam","N/A","24 tháng","Google Tivi","N/A","Clear Phase, DTS Digital Surround, S-Master Digital Amplifier, S-Force Front Surround","N/A","Tìm kiếm giọng nói trên YouTube bằng tiếng Việt, Google Assistant có tiếng Việt",2024-10-28
"137023","Smart Tivi NanoCell LG 50NANO81TSA","","","https://www.nguyenkim.com/images/companies/_1/tivi/LG/G4/tivi%20(1).jpg","0","https://www.nguyenkim.com/smart-tivi-nanocell-lg-4k-50-inch-50nano81tsa.html","50 inch","4K (UHD)","webOS 24","9 chế độ (Sống động, Tiêu chuẩn, Sinh thái, Rạp chiếu phim, Thể thao, Trò chơi, Nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối))","α5 AI Processor 4K Gen7","60 Hz","20W","1 cổng","Wifi 5","2 Cổng","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG","Indonesia","N/A","24 tháng","Tivi NanoCell","HDR10/HLG","AI Sound Pro (Virtual 9.1.2 Up-mix)","N/A","Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"136148","Smart Tivi Samsung UA43DU8000KXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/du8000/smart-tivi-samsung-4k-43-inch-ua43du8000kxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-43-inch-ua43du8000kxxv.html","43 inch","4K (UHD)","Tizen","Dynamic Crystal Color, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 Micro HDMI","Samsung","Việt Nam","N/A","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"136003","Tivi Neo QLED Samsung QA55QN85DBKXXV","","","https://www.nguyenkim.com/images/companies/_1/tivi/samsung/qn85d/smart-tivi-neo-qled-samsung-4k-55-inch-qa55qn85dbkxxv-min.jpg","0","https://www.nguyenkim.com/smart-tivi-neo-qled-samsung-4k-55-inch-qa55qn85dbkxxv.html","55 inch","4K (UHD)","Tizen","AI Customization Mode, Real Depth Enhancer Pro, Neo Quantum HDR, AI HDR Remastering, HDR Brightness Optimizer, Quantum Matrix, Supreme UHD Dimming, Wide Viewing Angle, EyeComfort, Motion Xcelerator","Bộ xử lý AI NQ4 thế hệ 2","120 Hz","40W","1 cổng","Wifi 5","2 x USB A","4 Cổng","Samsung","Việt Nam","N/A","24 tháng","Tivi Neo QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS) với Dolby Atmos, Active Voice Amplifier, Adaptive Sound Pro","DDR 2.5G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"138480","BRAVIA 8 Tivi OLED Sony 55 inch K-55XR80","","","https://www.nguyenkim.com/images/companies/_1/Tivi/xr80/smart-tivi-oled-sony-4k-55-inch-k-55xr80-vn3.jpg","0","https://www.nguyenkim.com/google-tivi-oled-sony-4k-55-inch-k-55xr80-vn3.html","55 inch","4K (UHD)","Google TV","Màn hình OLED 4K, XR Contrast Booster 15, XR Triluminos Pro, XR Clear Image, XR OLED Motion, VRR, ALLM dành riêng cho máy PS5, Hỗ trợ Dolby Vision, IMAX Enhanced, Netflix Adaptive Calibrated Mode,...","XR Processor","120 Hz","50W","Có","Có","2 cổng","4 cổng","Sony","Malaysia","N/A","24 tháng","Tivi OLED","HDR10/HLG/Dolby Vision","2.1 kênh, Acoustic Surface Audio+, 3D Surround Upscaling, 360 Spatial Sound Mapping, Acoustic Center Sync, Tương thích 360 Spatial Sound Personalizer, Hỗ trợ Dolby Atmos, DTS Digital Surround, S-Master Digital Amplifier, S-Force Front Surround,…","N/A","Tìm kiếm và điều khiển TV không cần remote bằng cách nói ""OK google + câu lệnh"" trực tiếp vào TV hoặc Tìm kiếm bằng giọng nói truyền thống bằng Remote",2024-10-28
"137058","Smart Tivi QNED LG 55QNED80TSA","","","https://www.nguyenkim.com/images/companies/_1/Tivi/LG/qned91/tivi-lg_1.jpg","0","https://www.nguyenkim.com/smart-tivi-qned-lg-4k-55-inch-55qned80tsa.html","55 inch","4K (UHD)","webOS 24","9 chế độ (Sống động, Tiêu chuẩn, Sinh thái, Rạp chiếu phim, Thể thao, Trò chơi, Nhà làm phim, (ISF) Chuyên gia (Phòng sáng), (ISF) Chuyên gia (Phòng tối))","α5 AI Processor 4K Gen7","60 Hz","20W","1 cổng","Wifi 5","2 Cổng","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG","Indonesia","N/A","24 tháng","Tivi QNED","HDR10/HLG","AI Sound Pro (Virtual 9.1.2 Up-mix)","N/A","Tìm kiếm bằng giọng nói Tiếng Việt",2024-10-28
"135863","Google Tivi QLED TCL 43C655","-13","","https://www.nguyenkim.com/images/companies/_1/tivi/TCL/google-tivi-qled-tcl-4k-43-inch-43c655-1-min.jpg","0","https://www.nguyenkim.com/google-tivi-qled-tcl-4k-43-inch-43c655.html","43 inch","4K (UHD)","Google TV","HDR10+ Decoding, Dolby Vision","AIPQ Pro Processor","60Hz/120Hz MEMC Hz","15Wx2","1 cổng","2.4GHz/5GHz","2 Cổng","4 Cổng","TCL","Việt Nam","N/A","24 Tháng","Tivi QLED","HDR 10+","Dolby Atmos, DTS Virtual X","N/A","Google Assistant - Remote có micro",2024-10-28
