id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,screenType,audioOutputPorts,itemGift,crawlDate
"322647","Samsung Smart TV QLED QA85QN85D Mẫu mới","82900000","99900000","https://cdn.tgdd.vn/Products/Images/1942/322647/tivi-neo-qled-samsung-4k-85-inch-qa85qn85d-280324-111008-550x340.jpg","-17","https://www.dienmayxanh.com/tivi/tivi-neo-qled-samsung-4k-85-inch-qa85qn85d","85 inch","4K","Tizen™","Supreme UHD Dimming Real Depth Enhancer AI HDR Remastering Chống xé hình FreeSync Premium Pro Chuyển động mượt Motion Xcelerator Super Ultra Wide Game View & Game Bar Góc nhìn rộng Wide Viewing Angle Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort Chế độ Game Motion Plus","","120 Hz","40W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2024","Đèn nền: Mini LED, Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 10.520.000₫",2024-12-01
"322664","Samsung Smart TV QLED QA85Q70D Mẫu mới","54900000","64900000","https://cdn.tgdd.vn/Products/Images/1942/322664/tivi-qled-samsung-4k-85-inch-qa85qn70d-120324-020608-550x340.jpg","-15","https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-85-inch-qa85q70d","85 inch","4K","Tizen™","Supreme UHD Dimming Quantum Dot Super Ultra Wide Game View & Game Bar Góc nhìn rộng Wide Viewing Angle Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","","120 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Samsung.  ","Việt Nam","2024","Đèn nền: LED viền kết hợp Dual LED, Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 5.420.000₫",2024-12-01
"324904","LG Smart TV OLED 83C4PSA Mẫu mới","108990000","149000000","https://cdn.tgdd.vn/Products/Images/1942/324904/tivi-oled-4k-lg-83c4psa-thumb-550x340.jpg","-26","https://www.dienmayxanh.com/tivi/tivi-oled-4k-lg-83c4psa","83 inch","4K","","HLG HDR10 Pro Dolby Vision FilmMaker Mode Công nghệ điểm ảnh Pixel Dimming Đồng bộ khung hình/tần số quét chơi game VRR Chống xé hình G-Sync Chống xé hình FreeSync Chuyển động mượt OLED Motion Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","120 Hz","40W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2024","Tấm nền: OLED","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-12-01
"324924","LG Smart TV 86QNED80TSA Mẫu mới","47490000","63900000","https://cdn.tgdd.vn/Products/Images/1942/324924/tivi-qned-lg-4k-86-inch-86qned80tsa-240424-091846-550x340.jpg","-25","https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-86-inch-86qned80tsa","86 inch","4K","","Nâng cấp độ phân giải 4K Upscaling HLG HDR10 Pro FilmMaker Mode Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối bàn phím, chuột)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2024","Đèn nền: LED viền (Edge LED), Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-12-01
"325316","Sony Google TV OLED BRAVIA 8 K-55XR80 Mẫu mới","41090000","52690000","https://cdn.tgdd.vn/Products/Images/1942/325316/google-tivi-oled-sony-4k-55-inch-k-55xr80-thumb-1-550x340.jpg","-22","https://www.dienmayxanh.com/tivi/google-tivi-oled-sony-4k-55-inch-k-55xr80","55 inch","4K","Google TV","Đồng bộ khung hình/tần số quét chơi game VRR HLG HDR10 Dolby Vision Tăng cường màu sắc XR Triluminos Pro Tương thích chuẩn IMAX Enhanced Hiệu chuẩn màu sắc Netflix Calibrated Mode Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","","120 Hz","50W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","Sony.  ","Malaysia","2024","Tấm nền: OLED","1 cổng 3.5 mm, 1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-12-01
"327163","AQUA Android TV AQT43K800UG Mẫu mới","6990000","6990000","https://cdn.tgdd.vn/Products/Images/1942/327163/TimerThumb/android-tivi-aqua-43-inch-aqt43k800ug-(3).jpg","0","https://www.dienmayxanh.com/tivi/android-tivi-aqua-43-inch-aqt43k800ug","43 inch","4K","Android 11.0","HLG HDR10 Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","4 cổng HDMI có 1 cổng HDMI eARC (ARC), 1 cổng Composite","AQUA.  ","Việt Nam","2024","Đèn nền: LED nền (Direct LED), Tấm nền: VA LCD","1 cổng 3.5 mm, 1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 300.000₫",2024-12-01
"272081","TCL Google TV 65P737","12250000","14490000","https://cdn.tgdd.vn/Products/Images/1942/272081/android-tcl-4k-65-inch-65p737_thumb1-550x340.jpg","-15","https://www.dienmayxanh.com/tivi/android-tcl-4k-65-inch-65p737","65 inch","4K","Google TV","Tăng cường chuyển động MEMC 60Hz HLG HDR10 Dolby Vision Kiểm soát đèn nền Micro Dimming Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)","","60 Hz","19W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","1 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC), 1 cổng Composite","TCL.  ","Việt Nam","2022","Đèn nền: LED nền (Direct LED), Tấm nền: VA LCD","1 cổng 3.5 mm, 1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-12-01
"278544","LG Smart TV OLED 55G2PSA","43900000","58900000","https://cdn.tgdd.vn/Products/Images/1942/278544/smart-oled-lg-4k-55-inch-55g2psa-021222-104712-550x340.jpg","-25","https://www.dienmayxanh.com/tivi/smart-oled-lg-4k-55-inch-55g2psa","55 inch","4K","webOS 22","Đồng bộ khung hình/tần số quét chơi game VRR Tương phản hoàn hảo Perfect Black HLG HDR10 Pro HDR Dynamic Tone Mapping Pro HDR Dolby Vision Dolby Vision IQ FilmMaker Mode 4K Cinema HDR Dải màu siêu rộng Perfect Color Công nghệ điểm ảnh Pixel Dimming Nâng cấp độ phân giải 4K AI Upscaling Nâng cấp hình ảnh AI Picture Pro 4K Chống xé hình G-Sync Chống xé hình FreeSync Chuyển động mượt OLED Motion Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","120 Hz","60W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","","4 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2022","Tấm nền: OLED","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","",2024-12-01
"278552","LG Smart TV 43UQ8000PSC","9900000","14400000","https://cdn.tgdd.vn/Products/Images/1942/278552/smart-lg-4k-43-inch-43uq8000psc-00-550x340.jpg","-31","https://www.dienmayxanh.com/tivi/smart-lg-4k-43-inch-43uq8000psc","43 inch","4K","webOS 22","HLG HDR10 Pro HDR Dynamic Tone Mapping FilmMaker Mode Active HDR Nâng cấp độ phân giải 4K AI Upscaling Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2022","Đèn nền: LED nền (Direct LED), Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 300.000₫",2024-12-01
"278554","LG Smart TV 55UQ8000PSC","13900000","19900000","https://cdn.tgdd.vn/Products/Images/1942/278554/smart-lg-4k-55-inch-55uq8000psc-00-550x340.jpg","-30","https://www.dienmayxanh.com/tivi/smart-lg-4k-55-inch-55uq8000psc","55 inch","4K","webOS 22","HLG HDR10 Pro HDR Dynamic Tone Mapping FilmMaker Mode Active HDR Nâng cấp độ phân giải 4K AI Upscaling Giảm độ trễ chơi game Auto Low Latency Mode (ALLM) Chế độ game HGiG","","60 Hz","20W","Wi-Fi Cổng mạng LAN","Bluetooth (Kết nối loa, thiết bị di động)","2 cổng USB A","3 cổng HDMI có 1 cổng HDMI eARC (ARC)","LG.  ","Indonesia","2022","Đèn nền: LED nền (Direct LED), Tấm nền: Hãng không công bố","1 cổng Optical (Digital Audio), 1 cổng eARC (ARC)","Quà 520.000₫",2024-12-01
