id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"138370","Android Tivi Hisense 40A4N","4990000.00","4990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10058150-tskt.jpg","0","https://www.nguyenkim.com/android-tivi-hisense-full-hd-40-inch-40a4n.html","40 inch","Full HD","Android Tivi","High contrast, Natural Color Enhancer","MT9216AAATYB","60 Hz","20W","Có","2.4/5.0","2 cổng","HDMI 1.4*2","Hisense","Thái Lan","2024","24 Tháng","Android Tivi","Không","DTS Virtual X","1GB+8GB","Google Assistant (tiếng Việt)",2024-11-03
"136093","Tivi QLED Samsung QA55Q60DAKXXV","14690000.00","14690000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057614-smart-tivi-qled-4k-55-inch-qa55q60dakxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-55-inch-qa55q60dakxxv.html","55 inch","4K (UHD)","Tizen","Công nghệ Quantum Dot, Công nghệ Quantum HDR, Dual LED, Công nghệ Supreme UHD Dimming, EyeComfort, Motion Xcelerator","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","2024","24 tháng","Tivi QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-11-03
"136138","Smart Tivi Samsung UA55DU8000KXXV","15370000.00","15370000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057624-smart-tivi-qled-4k-55-inch-qa55du800kxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du8000kxxv.html","55 inch","4K (UHD)","Tizen","Dynamic Crystal Color, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 Micro HDMI","Samsung","Việt Nam","2024","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-11-03
"140690","Smart Tivi Toshiba 43E31MP","5490000.00","5990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10058428-Smart_Tivi_Toshiba_43E31MP1-tskt_9.jpg","8","https://www.nguyenkim.com/smart-tivi-toshiba-full-hd-43-inch-43e31mp.html","43 inch","Full HD","VIDAA TV","Picture Optimizer, Công nghệ Essential PQ, Công nghệ Color Re-Master, Chức năng Contrast Booster, Digital Noise Reduction, Auto Signal Booster","Regza Engine","60 Hz","20W","Ethernet Network (RJ45)","WiFi 802.11 chuẩn a/b/g/n/ac","2 Cổng","HDMI 2.0x2, HDMI eARC","Toshiba (Tivi)","Thái Lan","2024","24 tháng","Smart Tivi","Không","DTS Virtual X, Regza Power Audio, DTS X","1G+4G","Tìm kiếm bằng giọng nói thông qua ứng dụng VIDAA kết nối trên điện thoại",2024-11-03
"136173","Smart Tivi Samsung UA65DU7700KXXV","17900000.00","17900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057629-smart-tivi-qled-4k-65-inch-qa65du7700kxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-65-inch-ua65du7700kxxv.html","65 inch","4K (UHD)","Tizen","Purcolor, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","1 x USB-A","3 Micro HDMI","Samsung","Việt Nam","2024","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound Lite (OTS Lite), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-11-03
"136183","Smart Tivi Samsung UA55DU7700KXXV","14900000.00","14900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057630-smart-tivi-qled-4k-55-inch-qa55du7700kxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-samsung-4k-55-inch-ua55du7700kxxv.html","55 inch","4K (UHD)","Tizen","Purcolor, HDR, Công nghệ UHD Dimming, Contrast Enhancer, Motion Xcelerator","Crystal 4K","60 Hz","20W","1 cổng","Wifi 5","1 x USB-A","3 Micro HDMI","Samsung","Việt Nam","2024","24 tháng","Smart Tivi","HDR10","Q symphony Next, Object Tracking Sound Lite (OTS Lite), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-11-03
"130312","Android Tivi TCL 32S5400A","4390000.00","4390000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055634-android-tivi-tcl-hd-32-inch-32s5400a-tskt.jpg","0","https://www.nguyenkim.com/android-tivi-tcl-hd-32-inch-32s5400a.html","32 inch","HD","Android","HDR10","CA55x4 @1.1GHz (DVFS 1.45GHz)","60 Hz","16W","Có","Có","1 Cổng","2 cổng","TCL","Việt Nam","2023","24 tháng","Android Tivi","2K HDR10 Decoding","Dolby Audio","8GB","Có",2024-11-03
"130314","Android Tivi TCL 40S5400A","5490000.00","5490000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055635-android-tivi-tcl-full-hd-40-inch-40s5400a-tskt.jpg","0","https://www.nguyenkim.com/android-tivi-tcl-full-hd-40-inch-40s5400a.html","40 inch","Full HD","Android","HDR10","CA55x4 @1.1GHz (DVFS 1.45GHz)","60 Hz","19W","Có","Có","1 Cổng","2 cổng","TCL","Việt Nam","2023","24 tháng","Android Tivi","2K HDR10 Decoding","Dolby Audio","","Có",2024-11-03
"136088","Tivi QLED Samsung QA65Q60DAKXXV","20900000.00","20900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057613-smart-tivi-qled-4k-65-inch-qa65q60dakxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-65-inch-qa65q60dakxxv.html","65 inch","4K (UHD)","Tizen","Công nghệ Quantum Dot, Công nghệ Quantum HDR, Dual LED, Công nghệ Supreme UHD Dimming, EyeComfort, Motion Xcelerator","Quantum Processor Lite 4K","60 Hz","20W","1 cổng","Wifi 5","2 x USB-A","3 cổng","Samsung","Việt Nam","2024","24 tháng","Tivi QLED","HDR 10+","Q symphony Next, Object Tracking Sound (OTS), Adaptive Sound","DDR 2G, Flash 8G","Trợ lý ảo Tiếng Việt Bixby: Tìm kiếm bằng giọng nói Tiếng Việt",2024-11-03
"135420","Google Tivi Hisense 43A6500K","6490000.00","6490000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057469-tivi-google-hisense-4k-43-inch-43a6500k-tskt.jpg","0","https://www.nguyenkim.com/google-tivi-hisense-4k-43-inch-43a6500k.html","43 inch","4K (UHD)","Google TV","Công nghệ xử lý hình ảnh Dynamic Backlight Control/VRR/MEMC; Công nghệ hình ảnh HDR10/Dolby Vision","MT9612IAATNC","60 Hz","20W","Có","2.4G + 5G/Bluetooth 5.1","2 Cổng","3 cổng","Hisense","Thái Lan","2023","24 Tháng","Google Tivi","HDR10","Dolby Atmos","","Tìm kiếm bằng giọng nói Tiếng Việt, Trợ lý ảo Google Assistant, Tìm kiếm bằng giọng nói không cần remote",2024-11-03
