id,name,price,oldPrice,imgLink,discountPercent,productLink,screenSize,resolution,operatingSystem,imageTechnology,processor,refreshRate,speakerPower,internetConnection,wirelessConnectivity,usbPorts,videoAudioInputPorts,manufacturer,manufacturedIn,releaseYear,warrantyPeriod,tiviType,hdr,soundTechnology,memory,voiceSearch,crawlDate
"127352","Tivi OLED Casper 65CGS810","53900000.00","53900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10054849-smart-tivi-casper-oled-4k-65-inch-65cgs810-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-casper-oled-4k-65-inch-65cgs810.html","65 inch","4K (UHD)","Google TV","4K HDR, Dolby Vision, HDR10, Công nghệ tấm nền OLED Pixel Self-Dimming","","","20W","Có","Có","2 Cổng","3 cổng","Casper","Indonesia","2023","24 Tháng","Tivi OLED","","Công nghệ âm thanh vòm Dolby Atmos","","Trợ lý ảo Google Assistant, Tìm kiếm bằng giọng nói (có hỗ trợ tiếng Việt) , Smart Zone, Điều khiển giọng nói rảnh tay: Giao tiếp với TV không cần điều khiển",2024-12-01
"128041","Tivi OLED Samsung QA77S95CAKXXV","109900000.00","109900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055193-smart-tivi-oled-samsung-4k-77-inch-qa77s95cakxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-oled-samsung-4k-77-inch-qa77s95cakxxv.html","77 inch","4K (UHD)","Tizen","Neo Quantum 4K, Quantum Dot, HDR, OLED, Real Depth Enhancer, Ultra Viewing Angle","Neural Quantum 4K","144 Hz","60W","Có","Wifi 5","2 Cổng","4 Cổng","Samsung","Việt Nam","2023","24 Tháng","Tivi OLED","","Object Tracking Sound, Active Voice Amplifier, Adaptive Sound+, Q Symphony","","Trợ lý ảo Bixby, Tìm kiếm bằng giọng nói Tiếng Việt trên Youtube",2024-12-01
"135400","Google Tivi QD-Mini LED TCL 75C755","36990000.00","36990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057224-goole-tivi-qd-miniled-tcl-4k-75-inch-75c755-tskt.jpg","0","https://www.nguyenkim.com/google-tivi-qd-mini-led-tcl-4k-75-inch-75c755.html","75 inch","4K (UHD)","Google TV","HDR10+, Dolby Vision IQ, Dolby Vision Gamming","AiPQ Gen 3","144Hz/240Hz DLG Hz","30W","1 cổng","Wi-Fi 5 (2.4G+5G)","2 Cổng","4 Cổng","TCL","Việt Nam","2024","24 Tháng","Tivi Mini LED","HDR 10+","Dolby Atmos , DTS Virtual: X","32GB","Tìm kiếm giọng nói trên YouTube bằng tiếng Việt, Google Assistant có tiếng Việt",2024-12-01
"135878","Google Tivi QLED TCL 75C655","25990000.00","25990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10057582-google-tivi-qled-tcl-4k-75-inch-75c655-tskt.jpg","0","https://www.nguyenkim.com/google-tivi-qled-tcl-4k-75-inch-75c655.html","75 inch","4K (UHD)","Google TV","HDR10+ Decoding, Dolby Vision","AIPQ Pro Processor","60Hz/120Hz MEMC, 120 Hz DLG, 120Hz VRR Hz","(2x10)W + 15W","1 cổng","2.4GHz/5GHz","2 Cổng","4 Cổng","TCL","Việt Nam","2024","24 Tháng","Tivi QLED","HDR10+","Dolby Atmos, DTS Virtual X","","Google Assistant - Remote có micro",2024-12-01
"119163","Smart Tivi OLED LG OLED55A2PSA","24890000.00","24890000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10052148-smart-tivi-oled-lg-4k-55-inch-oled55a2psa-tskt.jpg","42","https://www.nguyenkim.com/smart-tivi-oled-lg-4k-55-inch-oled55a2psa.html","55 inch","4K (UHD)","webOS Smart TV","Active HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision IQ, HDR, HDR Dolby Vision, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Tăng độ sáng 20% Brightness Booster","α7 Gen5 AI Processor 4K","60 Hz","20W","Có","Có (802.11ac)","Có","3 cổng","LG","Indonesia","2022","24 Tháng","Tivi OLED","","Bluetooth Surround Ready, Dolby Atmos, Âm thanh phù hợp theo nội dung AI Sound Pro, Điều chỉnh âm thanh tự động AI Acoustic Tuning, Đồng bộ hóa âm thanh LG Sound Sync,","","LG Voice Search - tìm kiếm bằng giọng nói tiếng Việt, Nhận diện giọng nói LG Voice Recognition, Tìm kiếm giọng nói trên YouTube bằng tiếng Việt, Alexa (Chưa có tiếng Việt), Google Assistant (Chưa có tiếng Việt)",2024-12-01
"93561","Tivi QLED Samsung QA85Q80TAKXXV","119900000.00","119900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10045048-smart-tivi-qled-samsung-4k-85-inch-qa85q80takxxv-1-zwxj-rb.jpg","0","https://www.nguyenkim.com/tivi-qled-samsung-4k-85-inch-qa85q80takxxv.html","85 inch","4K (UHD)","Tizen OS 5.5","Quantum 4K Pro, HDR 1500, Direct Full Array 48, Wideview, Chế độ hình ảnh tự nhiên Natural Mode, Quantum Dot hiển thị 100% dải màu","Quantum Processor 4K","200 Hz","60W","Có","Có","2 Cổng","4 Cổng","Samsung","Việt Nam","2020","24 Tháng","Tivi QLED","","Object Tracking Sound (OTS), Active Voice Amplifier (AVA), Cải thiện âm thanh Dialog Enhancement","","Tìm kiếm giọng nói trên YouTube bằng tiếng Việt, Google Assistant có tiếng Việt, Bixby (Dự kiến có tiếng Việt tháng 3/2024)",2024-12-01
"120493","Google Tivi Sony XR-75X95K","69890000.00","69850000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10052308-google-tivi-sony-4k-75-inch-xr-75x95k-tskt.jpg","22","https://www.nguyenkim.com/google-tivi-sony-4k-75-inch-xr-75x95k.html","75 inch","4K (UHD)","Google TV","XR Cognitive, X-Anti Reflection, X-Wide Angle, Netflix Calibrated Mode, XR Backlight Master Drive, XR Motion Clarity, XR Triluminos Pro, XR Contrast Booster 15","","100 Hz","60W","Có","Wi-Fi 802.11a/b/g/n/ac","2 Cổng","4 Cổng","Sony","Malaysia","","24 Tháng","Google Tivi","","Dolby Atmos, âm thanh vòm 3D, Acoustic Multi Audio","","Tìm kiếm bằng giọng nói Tiếng Việt, Trợ lý ảo Google Assistant",2024-12-01
"104851","Tivi OLED LG OLED65G1PTA","84900000.00","84900000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10049220-smart-tivi-oled-lg-4k-65-inch-oled65g1pta-1.jpg","0","https://www.nguyenkim.com/smart-tivi-oled-lg-4k-65-inch-oled65g1pta.html","65 inch","4K (UHD)","webOS 6.0","AI Picture Pro - Face Enhancing, AI Upscaling, Image Enhancing on SQM, Cinema HDR, FILMMAKER MODE ™, HDR Dynamic Tone Mapping Pro (+ AI HDR Tone Mapping), OLED Motion Pro, 4K Upscaler","Bộ xử lý α9 Gen4 4K AI","120 Hz","60W","Có","802.11ac, Bluetooth V5.0","3 Cổng","4 Cổng","LG","Indonesia","2021","24 Tháng","Tivi OLED","","DOLBY ATMOS, AI Sound Pro, Clear Voice Pro","","Tìm kiếm bằng giọng nói Tiếng Việt, Google Assistant (Chưa có tiếng Việt), LG Voice Search - tìm kiếm bằng giọng nói tiếng Việt",2024-12-01
"130698","Tivi QLED Samsung QA55QE1CAKXXV","17400000.00","17400000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10055991-smart-tivi-qled-samsung-4k-55-inch-qa55qe1cakxxv-tskt.jpg","0","https://www.nguyenkim.com/smart-tivi-qled-samsung-4k-55-inch-qa55qe1cakxxv.html","55 inch","4K (UHD)","Tizen","Quantum Processor Lite 4K, Quantum HDR, Dual LED, Supreme UHD Dimming, Motion Xcelerator","","50 Hz","20W","Có","Có","2 Cổng","3 cổng","Samsung","Việt Nam","2023","24 Tháng","Tivi QLED","","Object Tracking Sound, Q Symphony, Adaptive Sound, Dual Buds","","Trợ lý ảo Tiếng Việt Bixby Lite và Tìm kiếm bằng giọng nói Tiếng Việt trên Youtube",2024-12-01
"116396","Google Tivi TCL 65P735","19990000.00","19990000.00","https://www.nguyenkim.com/images/companies/_1/Content/TSKT-2021/tivi/10051439-google-tivi-tcl-4k-65-inch-65p735-tskt-1.jpg","0","https://www.nguyenkim.com/google-tivi-tcl-4k-65-inch-65p735.html","65 inch","4K (UHD)","Google TV","Dolby Vision, Tấm nền 10 bit: 1.07 tỷ màu sắc, Dải màu: 90% DCI-P3, Loại LED: DLED (LED Nền), Độ trễ đầu vào: 15ms (Game Mode)","Hãng không công bố","60 Hz","19W","Có","2.4Ghz + 5Ghz; Bluetooth: 5.1","Có","HDMI 2.1","TCL","Việt Nam","2022","24 Tháng","Google Tivi","HDR10","Dolby Atmos, DTS","","Tìm kiếm bằng giọng nói Tiếng Việt, Trợ lý ảo Google Assistant",2024-12-01
